times	len(a,b,c)
0.02717	16
0.04034	32
0.05359	48
0.06678	64
0.07962	80
0.09256	96
0.10600	112
0.11908	128
0.13243	144
0.14518	160
0.15767	176
0.17196	192
0.18479	208
0.19767	224
0.21131	240
0.22276	256
0.24542	272
0.25779	288
0.27132	304
0.28457	320
0.29835	336
0.31019	352
0.32384	368
0.33835	384
0.35040	400
0.36425	416
0.37638	432
0.38984	448
0.40420	464
0.41630	480
0.43016	496
0.44212	512
0.45726	528
0.47087	544
0.48303	560
0.49734	576
0.50588	592
0.52157	608
0.53605	624
0.54815	640
0.56203	656
0.57254	672
0.58752	688
0.60198	704
0.61401	720
0.62795	736
0.63797	752
0.65348	768
0.66805	784
0.68038	800
0.69389	816
0.70107	832
0.71951	848
0.73405	864
0.74594	880
0.75995	896
0.76889	912
0.78549	928
0.79978	944
0.81199	960
0.82590	976
0.83438	992
0.85165	1008
0.86640	1024
0.87584	1040
0.88627	1056
0.90575	1072
0.91928	1088
0.93235	1104
0.93799	1120
0.95311	1136
0.97174	1152
0.98521	1168
0.99829	1184
1.00710	1200
1.01490	1216
1.03779	1232
1.05148	1248
1.06426	1264
1.06982	1280
1.08257	1296
1.10377	1312
1.11749	1328
1.13044	1344
1.13391	1360
1.14957	1376
1.16977	1392
1.18312	1408
1.19630	1424
1.20402	1440
1.21045	1456
1.23572	1472
1.24930	1488
1.26248	1504
1.26547	1520
1.27819	1536
1.30173	1552
1.31542	1568
1.32823	1584
1.32986	1600
1.34598	1616
1.36772	1632
1.38115	1648
1.39428	1664
1.40073	1680
1.40615	1696
1.43428	1712
1.44734	1728
1.46037	1744
1.46173	1760
1.47450	1776
1.49990	1792
1.51336	1808
1.52641	1824
1.52585	1840
1.54240	1856
1.56578	1872
1.57919	1888
1.59233	1904
1.59773	1920
1.60172	1936
1.63195	1952
1.64549	1968
1.65839	1984
1.65847	2000
1.67128	2016
1.69788	2032
1.71196	2048
