times	len(a,b,c)
0.01352	16
0.02305	32
0.03257	48
0.04225	64
0.05187	80
0.06152	96
0.07127	112
0.08081	128
0.09048	144
0.10016	160
0.10981	176
0.11990	192
0.12935	208
0.13872	224
0.14839	240
0.15804	256
0.17701	272
0.18697	288
0.19643	304
0.20593	320
0.21552	336
0.22523	352
0.23488	368
0.24447	384
0.25415	400
0.26396	416
0.27406	432
0.28354	448
0.29277	464
0.30249	480
0.31202	496
0.32218	512
0.33146	528
0.34098	544
0.35153	560
0.36069	576
0.36997	592
0.37963	608
0.38933	624
0.39893	640
0.40913	656
0.41830	672
0.42850	688
0.43895	704
0.45252	720
0.45759	736
0.46655	752
0.47693	768
0.48643	784
0.49559	800
0.50563	816
0.51471	832
0.52442	848
0.53467	864
0.54442	880
0.55332	896
0.56302	912
0.57264	928
0.58353	944
0.59192	960
0.60694	976
0.61124	992
0.62132	1008
0.63133	1024
0.64031	1040
0.65051	1056
0.65956	1072
0.66980	1088
0.67926	1104
0.68917	1120
0.69895	1136
0.70864	1152
0.71816	1168
0.72719	1184
0.73703	1200
0.74760	1216
0.75621	1232
0.76609	1248
0.77609	1264
0.78571	1280
0.79477	1296
0.80604	1312
0.81516	1328
0.82450	1344
0.83385	1360
0.84345	1376
0.85403	1392
0.86228	1408
0.87196	1424
0.88283	1440
0.89142	1456
0.90157	1472
0.91117	1488
0.92020	1504
0.93063	1520
0.94046	1536
0.94990	1552
0.95888	1568
0.96948	1584
0.97848	1600
0.98788	1616
0.99866	1632
1.00792	1648
1.01814	1664
1.02652	1680
1.03684	1696
1.04675	1712
1.05611	1728
1.06507	1744
1.07603	1760
1.08447	1776
1.09550	1792
1.10464	1808
1.11406	1824
1.12401	1840
1.13312	1856
1.14345	1872
1.15255	1888
1.16193	1904
1.17268	1920
1.18104	1936
1.19207	1952
1.20056	1968
1.21164	1984
1.21972	2000
1.23447	2016
1.23951	2032
1.24941	2048
